word,word_normalized,num_raw_variants
ávə̀lɛ̀ðɛ́ɲárɛ́,ávə̀lɛ̀ðɔ́éɲárɛ́,4
ávə̀lɛ̀ðɛ́ɲáɾɛ̀,ávə̀lɛ̀ðɔ́éɲárɛ́,4
ávə̀lɛ̀ðɛ́ɲárɛ̀,ávə̀lɛ̀ðɔ́éɲárɛ́,4
ávə́ðácí,ávə́ðácí,1
ávɟìgɛ́,ávɟìgɛ́,3
ávɟìgɛ̀,ávɟìgɛ́,3
âvɟègɛ̀,ávɟìgɛ́,3
áwùɾ,áwó,5
áwúɾ,áwó,5
áwô,áwó,5
áwó,áwó,5
ágǒw,áwó,5
áwùr,áwóŕ,1
áŋà,áŋà,1
ŋàlóŋ,áŋàlóŋ,1
áŋɔ̀ŋnɔ́,áŋàŋìnɔ́,1
aŋa,áŋá,4
ànə́ŋá,áŋá,4
áŋ,áŋá,4
àńŋá,áŋá,4
ɜ́ŋcí,áŋcí,1
ŋî,áŋì,4
áŋí,áŋì,4
ŋì,áŋì,4
aáŋî,áŋì,4
ŋìnɔ̀,áŋìnɔ̀,1
ŋìnɔ̌,áŋìnɔ́,1
ŋìnɛ̀,áŋìnɛ̀,1
aŋìðìní,áŋìðìnɔ́,1
àɾðɔ̀ŋə̀nɔ̀,áŋìðɔ̀ŋìnɔ̀,1
áŋnà,áŋná,3
ádɔ̀ŋnǎ,áŋná,3
áŋná,áŋná,3
árt̪ɔ́ló,áŋt̪ɔ́ú,1
ŋú,áŋú,5
áŋú,áŋú,5
âŋú,áŋú,5
áŋó,áŋú,5
ŋù,áŋú,5
ámɔ́nɔ́,áɔ̀mɔ̀nɔ́,2
àmɔ̀nɔ́,áɔ̀mɔ̀nɔ́,2
ánt̪ɔ̀,áɔ̀nt̪ɔ́,2
ànt̪ɔ́,áɔ̀nt̪ɔ́,2
á̂ɾt̪ɔ́,áɔ̀ɾt̪ɔ́,2
á̀ɾt̪ɔ́,áɔ̀ɾt̪ɔ́,2
váɽàn,áɽà,1
ánàrɛ,áɽàŕ,1
áɽàŋgàɾɛ̀,áɽàŋgár,5
áɽàŋgàɾ,áɽàŋgár,5
káɽàŋgár,áɽàŋgár,5
áɽáŋgár,áɽàŋgár,5
áɽàŋgár,áɽàŋgár,5
áɽát̪ɔ́,áɽát̪ɔ́,1
ɜ́ɽíðú,áɽíðú,2
áɽíðú,áɽíðú,2
áɟó,áɽó,4
ágó,áɽó,4
áɽó,áɽó,4
ɽó,áɽó,4
áɽə̀ŋàt̪ò,áɽə̀ŋàt̪ɔ́,2
áɽə̀ŋàt̪ó,áɽə̀ŋàt̪ɔ́,2
áɽə́ŋát̪ór,áɽə̀ŋàt̪ɔ́ŕ,1
áɽə́ŋájt̪ɜ́ló,áɽə́ŋát̪át̪ɔ́,2
áɽə́ŋájt̪ɜ́lǒ,áɽə́ŋát̪át̪ɔ́,2
aɽəŋajt̪o,áɽə́ŋát̪ɔ́,3
áɽə́ŋátô,áɽə́ŋát̪ɔ́,3
áɽə́ŋát̪ó,áɽə́ŋát̪ɔ́,3
árà,áɾà,2
áɾà,áɾà,2
árá,áɾá,3
árǎ,áɾá,3
árâá,áɾá,3
árlát̪ɔ́,áɾlát̪ɔ́,1
árlɔ́,áɾĺɔ́,1
áɾò,áɾò,1
áɾt̪áŋáŋ́ɲár,áɾt̪áŋáŋ́ɲár,1
áɾt̪ínɔ́r,áɾt̪ìnɔ́ŕ,1
àɾt̪íŋǐ,áɾt̪íjí,4
áɾt̪íǐ,áɾt̪íjí,4
ɜ́ɾt̪íŋì,áɾt̪íjí,4
áɾt̪íŋí,áɾt̪íjí,4
ɜ́rt̪ínɔ́,áɾt̪ínɔ́,1
àɾt̪î,áɾt̪ɛ̀,5
ɜ̀ɾt̪î,áɾt̪ɛ̀,5
árt̪ɛ̀,áɾt̪ɛ̀,5
ɜ́ɾt̪î,áɾt̪ɛ̀,5
ártɛ̀,áɾt̪ɛ̀,5
árðáŋə́nɔ́,áɾðát̪ínɔ́,1
árðát̪ɔ́,áɾðát̪ɔ́,1
