index,word,token_count,lemma,phrase_count
2401,lìrcɛ̀cɔ̀,4,ìɾìcɔ̀cɔ̀,2
2402,t̪ɔ̀ɾɛ̀,4,ɔɾ,2
2403,àɾt̪ìnɔ́,13,aɾt̪-in,12
2404,káɾt̪ìt̪átɛ́,3,aɾt̪-it̪,1
2405,ɲə̀və̀lɛ̀ðɛ̀,7,vəlɛð,3
2406,jàɾt̪ìt̪átɛ́,3,aɾt̪-it̪,1
2407,ɲə̀və̀lɛ̀ðà,4,vəlɛð,2
2408,kɔ́ɾt̪átɛ́,6,aɾt̪,2
2409,lə́və̀lɛ̀ðà,7,vəlɛð,3
2410,t̪ɔ̀ɾt̪átɛ́ŕ,6,aɾt̪,2
2411,t̪ɔ̀ɾt̪átɛ́,7,aɾt̪,3
2412,lə́və̀lɛ̀ðɔ́ŕ,6,vəlɛð,2
2413,áɾt̪ìnɔ́ŕ,8,aɾt̪-in,2
2414,ŋə̀və̀lɛ̀ðɛ̀,12,vəlɛð,5
2415,ðə́ŋáŋá,12,ŋaŋ,3
2416,lə̀t̪ú,7,t̪(2),3
2417,lə̀t̪ì,7,t̪(2),3
2418,lə̀t̪à,3,t̪(2),1
2419,ðə́t̪á,7,t̪(2),2
2420,ðìɲɔ́,84,ðiɲ(1),21
2421,lìdú,7,id,2
2422,ìdú,32,id,11
2423,lìdɔ̀,10,id,4
2424,ŋə̀və̀lɛ̀ðà,22,vəlɛð,6
2425,nə̀və̀lɛ̀ðɛ̀,2,vəlɛð,1
2426,lə́jɔ́ŕ,6,j,2
2427,ɲájɔ́,7,j,3
2428,néɲá,3,ŋgá,2
2429,lɜ́ðɜ̀ŋìnɔ́l,7,ɜðɜŋin,2
2430,láŋáŋà,9,aŋ,3
2431,lə́d̪ùɾɔ̀,11,d̪uɾ,5
2432,ðáwá,8,aw,3
2433,kə́r̀lɛ̀ɲígɛ́,2,rlɛɲ,2
2434,lə̀və̀lɛ̀ðɔ́ŋúl,2,vəlɛð,1
2435,kə̀və̀lɛ̀ðɛ̀,1,vəlɛð,1
2436,lə̀ŋàŋɔ́,3,ŋaŋ,1
2437,ŋáŋɛ̀,3,ŋaŋ,1
2438,və́lɛ̀ðàt̪ɛ̀,9,vəlɛð-at̪,4
2439,lǎllóvə́lɛ̂ðàló,1,lǎllóvə́lɛ̂ðàló,1
2440,lə̀r̀à,2,r,1
2441,ðə́ŕá,6,r,2
2442,lə́dɔ̀ŋðàt̪ɛ̀,3,dɔŋð-at̪,1
2443,lɛ́vàɾt̪ɔ̀,2,ɛ̀vàɾtɔ̀,1
2444,lə̀t̪ìjí,3,t̪(2)-ij,2
2445,t̪íjì,9,t̪-ij,3
2446,ðùpà,12,ðùpì,7
2447,dɔ̀ŋðàt̪á,2,dɔŋð-at̪,1
2448,vɾáðát̪ɔ́,3,vɾað-at̪,1
2449,vɾàðàt̪ɔ́,9,vɾað-at̪,3
2450,ábúðát̪ɔ́,5,abuð-at̪,2
2451,kə́lcácí,3,kəlc-ac,2
2452,kə̀lcàcá,2,kəlc-ac,1
2453,və́lɛ́ðát̪ɔ́,6,vəlɛð-at̪,3
2454,àré,77,àré,28
2455,làwì,7,aw,2
2456,làwà,3,aw,1
2457,ŋáŋɔ́,2,ŋaŋ,1
2458,ŋàŋá,3,ŋaŋ,2
2459,və̀lɛ̀ðàt̪á,3,vəlɛð-at̪,1
2460,dɔ́ŋðát̪ɔ́,3,dɔŋð-at̪,1
2461,úrɔ́t̪ɔ́,6,ur-ɛt̪,2
2462,ùrɔ̀t̪ɔ́,17,ur-ɛt̪,5
2463,káɾát̪ɔ́,4,kaɾ-at̪,1
2464,lə̀mùt̪ɛ̀,28,mut̪,17
2465,kàɾàt̪á,2,kaɾ-at̪,1
2466,àɽàt̪ɔ́,4,aɽ-at̪,2
2467,lùrɔ̀t̪ɔ́,3,ur-ɛt̪,1
2468,úrɔ̀t̪ɔ̀,8,ur-ɛt̪,3
2469,àbùðàt̪á,3,abuð-at̪,1
2470,lə́dɔ̀ŋðàt̪ɔ́,3,dɔŋð-at̪,1
2471,dɔ́ŋðàt̪à,3,dɔŋð-at̪,1
2472,dɔ̀ŋðàt̪ɔ́,6,dɔŋð-at̪,2
2473,úrɛ̀t̪ɛ̀,3,ur-ɛt̪,1
2474,lə́dɔ̀ŋðàt̪à,3,dɔŋð-at̪,1
2475,vŕðɛ̀t̪ɛ̀,4,vrð-ɛt̪,1
2476,lə̀vɾàðàt̪ɔ́,6,vɾað-at̪,2
2477,vŕðɔ̀t̪ɔ̀,7,vrð-ɛt̪,3
2478,vr̀ðɔ̀t̪ɔ́,16,vrð-ɛt̪,4
2479,lə̀vr̀ðɛ̀t̪ɛ̀,1,vrð-ɛt̪,1
2480,lə̀vɾàðàt̪ɛ̀,5,vɾað-at̪,1
2481,lə̀wàjàcí,3,waj-ac,1
2482,wájàcì,4,waj-ac,1
2483,wájàcà,3,waj-ac,1
2484,wàjàcí,6,waj-ac,2
2485,lə̀wàjàcì,5,waj-ac,2
2486,jávt̪ɔ́,3,avt̪,3
2487,ɟíðɛ́cí,4,ɟið-ɛc,2
2488,ɟìðɔ̀cɔ́,4,ɟið-ɛc,1
2489,lə̀ɟìðɛ̀cí,3,ɟið-ɛc,1
2490,lə̀ɟìðɛ̀cì,6,ɟið-ɛc,3
2491,ɟíðɛ̀cì,2,ɟið-ɛc,1
2492,wájácí,3,waj-ac,1
2493,wàjàcá,3,waj-ac,1
2494,lə̀ɟìðɔ̀cɔ̀,3,ɟið-ɛc,1
2495,ídɔ́t̪ɔ́,3,id-ɛt̪,1
2496,ìdɔ̀t̪ɔ́,23,id-ɛt̪,10
2497,lə̀wàjàcà,3,waj-ac,1
2498,lìdɛ̀t̪ɛ̀,3,id-ɛt̪,2
2499,lìdɔ̀t̪ɔ̀,3,id-ɛt̪,1
2500,lɔ̀t̪ɔ́,4,lɔ̀t̪ɔ́,2
2501,lə́ɟìðɔ̀cɔ̀,4,ɟið-ɛc,1
